municipio_id,municipio_nombre
142371.0,estancia de guadalupe
142378.0,guasapampa
142385.0,la playa
140602.0,san carlos minas
142392.0,talaini
142399.0,tosno
142406.0,chancani
142434.0,tala cañada
140609.0,salsacate
142427.0,san geronimo
142441.0,villa de pocho
140616.0,general levalle
140623.0,la cesira
140630.0,laboulaye
142448.0,leguizamon
140637.0,melo
142455.0,rio bamba
140644.0,rosales
142462.0,san joaquin
140651.0,serrano
140658.0,villa rossi
140672.0,capilla del monte
140665.0,bialet masse
142469.0,cabalango
142476.0,casa grande
142483.0,charbonier
140679.0,cosquin
142490.0,cuesta blanca
142497.0,estancia vieja
140686.0,huerta grande
140693.0,la cumbre
140700.0,la falda
142511.0,san antonio de arredondo
140707.0,los cocos
140721.0,santa maria de punilla
142504.0,mayu sumaj
140714.0,san esteban
142518.0,san roque
142525.0,tala huasi
140728.0,tanti
140735.0,valle hermoso
140742.0,villa carlos paz
140749.0,villa giardino
142539.0,villa santa cruz del lago
142532.0,villa parque siquiman
142546.0,villa rio icho cruz
140756.0,achiras
140763.0,adelia maria
140770.0,alcira
140777.0,alpa corral
140784.0,berrotaran
140791.0,bulnes
140798.0,chajan
142553.0,chucul
140805.0,coronel baigorria
140812.0,coronel moldes
140819.0,elena
142560.0,"la carolina ""el potosi"""
140833.0,las acequias
142567.0,las albahacas
140840.0,las higueras
142574.0,las peñas sud
140847.0,las vertientes
142581.0,malena
140854.0,monte de los gauchos
140861.0,rio cuarto
140868.0,sampacho
140875.0,san basilio
140882.0,santa catalina
142588.0,suco
140896.0,vicuña mackenna
142595.0,villa el chacay
142602.0,washington
142616.0,cañada de machado
142623.0,capilla de los remedios
142651.0,diego de rojas
142658.0,el crispin
142665.0,esquina
142672.0,kilometro 658
140903.0,la para
142679.0,la posta
140910.0,la puerta
142686.0,la quinta
142700.0,las saladas
142707.0,maquinista gallini
140917.0,monte cristo
140924.0,obispo trejo
140931.0,piquillin
142714.0,plaza de mercedes
142644.0,comechingones
140938.0,rio primero
140945.0,santa rosa de rio primero
140952.0,villa fontana
142735.0,cerro colorado
142749.0,eufrasio loza
142756.0,gutemberg
142770.0,los hoyos
142791.0,santa elena
140959.0,sebastian elcano
142798.0,villa candelaria norte
140966.0,villa de maria
140973.0,calchin
140980.0,calchin oeste
140987.0,capilla del carmen
140994.0,carrilobo
141001.0,colazo
142805.0,colonia videla
141008.0,costasacate
142812.0,impira
141015.0,laguna larga
141022.0,las junturas
141043.0,matorrales
141057.0,pilar
142826.0,rincon
141071.0,rio segundo
141078.0,santiago temple
141085.0,villa del rosario
142840.0,arroyo los patos
142847.0,las calles
142854.0,las rabonas
141106.0,san pedro
141092.0,mina clavero
141099.0,nono
142861.0,panaholma
142868.0,san lorenzo
142875.0,san vicente
142882.0,sauce arriba
142252.0,villa sarmiento (g.r.)
142889.0,conlara
141127.0,la paz
142917.0,los hornillos
142896.0,la poblacion
142924.0,luyaba
142903.0,las tapias
142910.0,los cerrillos
141148.0,villa de las rosas
141134.0,san javier y yacanto
141141.0,san jose
141155.0,villa dolores
141162.0,alicia
141169.0,altos de chipion
141176.0,arroyito
141183.0,balnearia
142945.0,colonia las pichanas
141197.0,colonia marina
141204.0,colonia prosperidad
141211.0,colonia san bartolome
142952.0,colonia san pedro
142959.0,colonia valtelina
141218.0,colonia vignaud
141225.0,devoto
141232.0,el arañado
141239.0,el fortin
141246.0,el tio
142966.0,plaza luxardo
142938.0,colonia iturraspe
141260.0,la francia
141267.0,la paquita
141274.0,la tordilla
141281.0,las varas
141288.0,las varillas
141295.0,marull
141302.0,miramar
141309.0,morteros
141337.0,san francisco
141316.0,porteña
141323.0,quebracho herrado
141330.0,sacanta
141344.0,saturnino maria laspiur
141351.0,seeber
142973.0,toro pujio
141358.0,transito
142980.0,villa san esteban
141372.0,alta gracia
142987.0,anisacate
141393.0,malagueño
142994.0,bouwer
143106.0,villa parque santa ana
141379.0,despeñaderos
143001.0,dique chico
143008.0,falda del carmen
143113.0,villa san isidro
143022.0,la paisanita
143043.0,los cedros
141386.0,lozada
141400.0,monte ralo
143050.0,potrero de garay
143057.0,rafael garcia
143064.0,san clemente
141407.0,toledo
143071.0,valle de anisacate
143078.0,villa ciudad de america
143092.0,villa la bolsa
143120.0,caminiaga
143134.0,pozo nuevo
141414.0,san francisco del chañar
141421.0,almafuerte
141428.0,colonia almada
141435.0,corralito
143141.0,general fotheringham
141449.0,hernando
141456.0,james craik
143148.0,las isletillas
141463.0,las perdices
141470.0,los zorros
141477.0,oliva
143155.0,pampayasta norte
141484.0,pampayasta sud
143162.0,punta del agua
141491.0,rio tercero
141498.0,tancacha
141505.0,villa ascasubi
143169.0,candelaria sud
141512.0,cañada de luque
143176.0,capilla del siton
143183.0,la pampa
143190.0,los mistoles
143197.0,simbolar
141533.0,sinsacate
141540.0,villa del totoral
143211.0,el rodeo
141547.0,las arrias
141554.0,lucio v. mansilla
141561.0,san jose de la dormida
141568.0,san jose de las salinas
141582.0,villa tulumba
143225.0,aldea santa maria
141589.0,alto alegre
143232.0,ana zumaran
141596.0,ballesteros
141603.0,ballesteros sud
141610.0,bell ville
141617.0,benjamin gould
141624.0,canals
141631.0,chilibroste
141638.0,cintra
141645.0,colonia bismarck
141652.0,idiazabal
141659.0,justiniano posse
141666.0,laborde
141673.0,monte leña
141680.0,monte maiz
141687.0,morrison
141694.0,noetinger
141701.0,ordoñez
141708.0,pascanas
141715.0,pueblo italiano
141722.0,san antonio de litin
141729.0,san marcos sud
141736.0,viamonte
143246.0,villa los patos
141743.0,wenceslao escalante
180007.0,bella vista
180014.0,beron de astrada
180028.0,riachuelo
180042.0,concepcion
180035.0,colonia santa rosa
180056.0,tatacua
180063.0,curuzu cuatia
180049.0,tabay
180070.0,perugorria
180077.0,empedrado
180084.0,esquina
180091.0,pueblo libertador
180098.0,alvear
180105.0,estacion torrent
180126.0,lomas de vallejos
180112.0,caa cati
180133.0,palmar grande
180137.0,carolina
180140.0,goya
180147.0,itati
180154.0,ramada paso
180161.0,colonia liebig's
180168.0,ituzaingo
180175.0,san antonio
180182.0,san carlos
180186.0,villa olivari
180189.0,cruz de los milagros
180196.0,gobernador martinez
180203.0,lavalle
180210.0,santa lucia
180224.0,mburucuya
180238.0,mariano i. loza
180245.0,mercedes
180259.0,juan pujol
180266.0,mocoreta
180280.0,bonpland
180287.0,parada pucheta
180294.0,paso de los libres
180301.0,tapebicua
180308.0,saladas
180315.0,san lorenzo
180336.0,santa ana
180322.0,paso de la patria
180350.0,san luis del palmar
180357.0,colonia carlos pellegrini
180364.0,guaviravi
180371.0,la cruz
180378.0,yapeyu
180392.0,san miguel
180413.0,chavarria
180417.0,colonia pando
180399.0,9 de julio
180406.0,pedro r. fernandez
180420.0,san roque
180441.0,jose rafael gomez
180427.0,garruchos
180434.0,gobernador ing. valentin virasoro
180448.0,santo tome
180455.0,sauce
220007.0,concepcion del bermejo
220014.0,los frentones
220021.0,pampa del infierno
220028.0,taco pozo
220035.0,general vedia
220042.0,isla del cerrito
220049.0,la leonesa
220056.0,las palmas
220063.0,puerto bermejo
220070.0,puerto eva peron
220077.0,presidencia roque saenz peña
220084.0,charata
220091.0,gancedo
220112.0,hermoso campo
220119.0,chorotis
220126.0,santa sylvina
220113.0,corzuela
220140.0,la escondida
220154.0,la verde
220161.0,makalle
220168.0,el sauzalito
220175.0,fuerte esperanza
220182.0,juan jose castelli
220189.0,miraflores
220169.0,mision nueva pompeya
220210.0,avia terai
220217.0,campo largo
220224.0,napenay
220254.0,puerto tirol
220238.0,laguna blanca
220259.0,gral. san martengeneral san martin
220266.0,la eduvigis
220273.0,laguna limpia
220280.0,pampa almiron
220287.0,pampa del indio
220294.0,presidencia roca
220301.0,tres isletas
220308.0,coronel du graty
220315.0,enrique urien
220322.0,villa angela
220329.0,las breñas
220336.0,la clotilde
220343.0,la tigra
220350.0,san bernardo
220364.0,colonia benitez
220378.0,quitilipi
220385.0,barranqueras
220392.0,basail
220413.0,resistencia
220399.0,fontana
220420.0,samuhu
220427.0,villa berthet
220434.0,capitan solari
220441.0,colonias elisa
220448.0,colonias unidas
220455.0,las garcitas
220469.0,charadai
220462.0,cote lai
260007.0,puerto madryn
260014.0,cholila
268014.0,cushamen
260021.0,el hoyo
260035.0,epuyen
260042.0,lago puelo
260049.0,comodoro rivadavia
260056.0,rada tilly
260063.0,camarones
260084.0,trevelin
260070.0,corcovado
260077.0,esquel
260091.0,dolavon
260098.0,gaiman
268035.0,gastre
268056.0,carrenleufu
268063.0,colan conhue
268070.0,paso del sapo
260105.0,tecka
268077.0,las plumas
265021.0,paso de indios
260112.0,rawson
260119.0,trelew
260126.0,alto rio senguer
268091.0,aldea beleiro
268098.0,doctor ricardo rojas
260133.0,rio mayo
268119.0,buen pasto
260140.0,sarmiento
268147.0,dr. atilio oscar viglione
260147.0,gobernador costa
268126.0,gan gan
340007.0,laguna yema
345007.0,los chiriguanos
345014.0,colonia pastoril
340028.0,formosa
345021.0,gran guardia
345028.0,san hilario
340049.0,general lucio victorio mansilla
340056.0,herradura
340063.0,mision san francisco de laishi
340070.0,villa escolar
340077.0,ingeniero guillermo n. juarez
340133.0,las lomitas
340140.0,pozo del tigre
345049.0,subteniente perin
345056.0,buena vista
340168.0,espinillo
340175.0,mision taacagle
349105.0,porton negro
345063.0,tres lagunas
340189.0,clorinda
340169.0,laguna blanca
340203.0,laguna naik neck
340210.0,riacho he-he
345070.0,siete palmas
340231.0,mayor vicente e. villafañe
340245.0,pirane
340252.0,villa dos trece
340259.0,general mosconi
386007.0,abdon castro tolay
386014.0,abralaite
386021.0,puesto del marques
386035.0,aguas calientes
380063.0,monterrico
386042.0,pampa blanca
380035.0,san salvador de jujuy
386028.0,yala
380105.0,humahuaca
380091.0,el aguilar
386063.0,tres cruces
380147.0,yuto
380126.0,calilegua
380119.0,caimancito
380140.0,libertador general san martin
380154.0,palpala
386077.0,rinconada
386070.0,mina pirquitas
386140.0,cusi cusi
386084.0,san antonio
380224.0,san pedro de jujuy
380196.0,la esperanza
380203.0,la mendieta
386105.0,rodeito
386098.0,el fuerte
386119.0,el piquete
380238.0,el talar
380245.0,palma sola
380252.0,santa clara
386126.0,vinalito
386133.0,cieneguillas
386147.0,santa catalina
386161.0,coranzuli
386175.0,huacalera
380329.0,tilcara
386203.0,volcan
386189.0,purmamarca
386196.0,tumbaya
386224.0,san francisco
386231.0,santa ana
386238.0,valle grande
386245.0,barrios
386252.0,cangrejillos
